geomtype|pass_size|abc|group|g|maxdegbf|lambdas|plabel|num_orbits|deg|BelyiDB_plabel|a_s|b_s|c_s|triples|aut_group
text|smallint|smallint[]|text|smallint|smallint|jsonb|text|smallint|smallint|text|smallint|smallint|smallint|jsonb|jsonb

H|3|[12,12,2]|9T33|0|3|[[4,3,2],[4,3,2],[2,2,2,2,1]]|9T33-4.3.2_4.3.2_2.2.2.2.1|1|9|9T33-[12,12,2]-432-432-22221-g0|2|12|12|[[[2,3,4,1,6,7,5,9,8],[8,7,5,9,1,2,6,3,4],[9,5,6,8,2,3,7,4,1]],[[2,3,4,1,6,7,5,9,8],[8,1,7,6,2,9,3,5,4],[9,2,5,7,3,8,4,6,1]],[[2,3,4,1,6,7,5,9,8],[4,9,6,5,8,3,2,1,7],[1,8,7,6,9,4,3,2,5]]]|[[1,2,3,4,5,6,7,8,9]]
H|12|[12,12,3]|9T33|0|6|[[4,3,2],[4,3,2],[3,3,1,1,1]]|9T33-4.3.2_4.3.2_3.3.1.1.1|2|9|9T33-[12,12,3]-432-432-33111-g0|3|12|12|[[[9,8,4,5,3,7,6,1,2],[5,8,9,7,3,4,6,2,1],[2,3,1,5,6,4,7,8,9]],[[4,3,7,5,6,1,2,9,8],[8,9,7,6,4,5,3,2,1],[4,3,8,9,5,6,7,2,1]],[[2,4,9,5,1,7,8,6,3],[9,5,1,8,2,4,6,7,3],[2,3,1,5,6,4,7,8,9]],[[2,4,9,7,6,8,1,5,3],[9,7,1,5,2,8,4,6,3],[2,3,1,5,6,4,7,8,9]],[[4,9,5,7,8,1,6,3,2],[8,6,9,7,1,3,4,5,2],[2,3,1,5,6,4,7,8,9]],[[2,9,8,1,6,7,5,3,4],[8,4,1,5,9,7,6,3,2],[2,3,1,5,6,4,7,8,9]],[[9,4,8,1,6,7,5,3,2],[8,4,9,5,2,7,6,3,1],[2,3,1,5,6,4,7,8,9]],[[5,8,9,1,7,2,4,6,3],[9,4,6,8,7,1,5,2,3],[2,3,1,5,6,4,7,8,9]],[[4,6,5,8,7,2,3,9,1],[7,9,6,2,1,3,5,4,8],[2,3,1,5,6,4,7,8,9]],[[4,6,5,8,3,7,2,9,1],[5,9,7,2,1,3,6,4,8],[2,3,1,5,6,4,7,8,9]],[[7,9,4,3,2,8,6,1,5],[4,8,5,7,3,9,1,6,2],[2,3,1,5,6,4,7,8,9]],[[8,6,5,1,3,7,2,9,4],[5,4,7,2,9,3,6,1,8],[2,3,1,5,6,4,7,8,9]]]|[[1,2,3,4,5,6,7,8,9]]
H|3|[12,2,4]|9T33|0|3|[[4,3,2],[2,2,2,2,1],[4,4,1]]|9T33-4.3.2_2.2.2.2.1_4.4.1|1|9|9T33-[12,2,4]-432-22221-441-g0|2|4|12|[[[9,6,8,7,2,5,1,3,4],[9,7,5,8,3,6,2,4,1],[2,3,4,1,6,7,8,5,9]],[[7,5,8,2,4,1,9,3,6],[8,6,5,4,3,2,9,1,7],[2,4,1,3,6,7,8,5,9]],[[4,3,2,8,1,7,9,5,6],[2,1,3,5,4,8,9,6,7],[4,3,1,2,6,7,8,5,9]]]|[[1,2,3,4,5,6,7,8,9]]
H|2|[12,3,3]|9T33|0|2|[[4,3,2],[3,3,3],[3,3,1,1,1]]|9T33-4.3.2_3.3.3_3.3.1.1.1|1|9|9T33-[12,3,3]-432-333-33111-g0|3|3|12|[[[2,8,4,5,3,7,6,9,1],[5,9,1,7,3,4,6,2,8],[2,3,1,5,6,4,7,8,9]],[[7,4,9,2,8,3,5,1,6],[6,8,4,9,2,7,1,5,3],[2,3,1,5,6,4,7,8,9]]]|[[1,2,3,4,5,6,7,8,9]]
H|8|[12,3,4]|9T33|0|8|[[4,3,2],[3,3,1,1,1],[4,4,1]]|9T33-4.3.2_3.3.1.1.1_4.4.1|1|9|9T33-[12,3,4]-432-33111-441-g0|3|4|12|[[[4,5,2,6,3,9,8,7,1],[1,9,3,5,7,2,4,8,6],[2,3,4,1,6,7,8,5,9]],[[4,5,2,9,3,7,6,1,8],[1,8,3,5,9,2,7,6,4],[2,3,4,1,6,7,8,5,9]],[[7,4,2,3,6,5,9,1,8],[2,8,3,4,9,6,5,1,7],[2,3,4,1,6,7,8,5,9]],[[8,3,2,5,9,1,6,7,4],[9,6,3,2,1,4,7,8,5],[2,3,4,1,6,7,8,5,9]],[[4,8,9,7,2,1,6,5,3],[3,6,5,4,1,8,7,2,9],[2,3,9,5,6,7,4,8,1]],[[5,1,4,3,6,2,9,7,8],[4,2,3,6,9,1,5,8,7],[2,4,1,3,6,7,8,5,9]],[[4,1,9,6,8,2,5,7,3],[9,2,1,6,5,7,4,8,3],[2,4,1,3,6,7,8,5,9]],[[4,6,9,2,8,1,5,7,3],[9,6,1,4,5,7,2,8,3],[2,4,1,3,6,7,8,5,9]]]|[[1,2,3,4,5,6,7,8,9]]
H|3|[12,3,6]|9T33|0|3|[[4,3,2],[3,3,3],[3,2,2,1,1]]|9T33-4.3.2_3.3.3_3.2.2.1.1|1|9|9T33-[12,3,6]-432-333-32211-g0|3|6|12|[[[2,4,9,6,7,1,8,5,3],[9,6,1,8,2,5,4,7,3],[2,3,1,5,4,7,6,8,9]],[[4,6,5,7,8,2,9,3,1],[8,9,6,3,1,4,2,5,7],[2,3,1,5,4,7,6,8,9]],[[8,9,7,1,2,4,3,6,5],[7,4,5,9,6,3,8,1,2],[2,3,1,5,4,7,6,8,9]]]|[[1,2,3,4,5,6,7,8,9]]
H|7|[15,15,2]|9T33|0|5|[[5,3,1],[5,3,1],[2,2,2,2,1]]|9T33-5.3.1_5.3.1_2.2.2.2.1|3|9|9T33-[15,15,2]-531-531-22221-g0|2|15|15|[[[2,3,4,5,1,7,8,6,9],[8,2,1,7,4,5,9,3,6],[6,3,2,8,5,1,9,4,7]],[[2,3,4,5,1,7,8,6,9],[8,6,3,2,9,5,1,7,4],[6,7,4,3,9,1,2,8,5]],[[2,3,4,5,1,7,8,6,9],[6,2,1,7,4,9,5,3,8],[7,3,2,8,5,9,1,4,6]],[[2,3,4,5,1,7,8,6,9],[4,6,9,7,5,8,1,3,2],[5,7,9,8,1,6,2,4,3]],[[2,3,4,5,1,7,8,6,9],[8,6,9,4,3,5,1,7,2],[6,7,9,5,4,1,2,8,3]],[[2,3,4,5,1,7,8,6,9],[3,7,2,5,9,6,8,1,4],[4,8,3,1,9,7,6,2,5]],[[2,3,4,5,1,7,8,6,9],[9,4,2,8,1,3,7,6,5],[9,5,3,6,2,4,8,7,1]]]|[[1,2,3,4,5,6,7,8,9]]
H|16|[15,15,3]|9T33|0|8|[[5,3,1],[5,3,1],[3,3,1,1,1]]|9T33-5.3.1_5.3.1_3.3.1.1.1|2|9|9T33-[15,15,3]-531-531-33111-g0|3|15|15|[[[2,3,4,5,1,7,8,6,9],[5,6,2,7,4,3,9,8,1],[1,9,3,6,5,8,2,4,7]],[[2,3,4,5,1,7,8,6,9],[5,6,3,7,4,8,9,2,1],[1,9,8,3,5,6,2,4,7]],[[2,3,4,5,1,7,8,6,9],[3,1,2,8,4,5,7,9,6],[6,2,3,1,5,4,9,7,8]],[[2,3,4,5,1,7,8,6,9],[5,9,2,4,8,3,6,1,7],[1,8,3,6,4,5,7,9,2]],[[2,3,4,5,1,7,8,6,9],[5,9,7,1,4,2,6,8,3],[1,4,6,9,5,8,7,3,2]],[[2,3,4,5,1,7,8,6,9],[5,1,3,7,9,4,6,2,8],[1,2,8,3,6,9,7,4,5]],[[2,3,4,5,1,7,8,6,9],[1,6,2,7,4,8,5,9,3],[7,1,3,9,5,6,2,4,8]],[[2,3,4,5,1,7,8,6,9],[5,9,2,3,8,6,4,1,7],[1,8,3,4,7,5,6,9,2]],[[2,3,4,5,1,7,8,6,9],[5,1,2,9,6,3,7,4,8],[1,2,3,6,8,9,5,7,4]],[[2,3,4,5,1,7,8,6,9],[5,2,6,8,4,9,1,7,3],[1,7,2,9,5,4,3,8,6]],[[2,3,4,5,1,7,8,6,9],[7,1,2,9,5,3,6,4,8],[5,2,3,6,8,9,7,1,4]],[[2,3,4,5,1,7,8,6,9],[9,8,2,1,5,3,6,7,4],[5,4,3,6,9,2,7,8,1]],[[2,3,4,5,1,7,8,6,9],[5,1,6,8,4,9,7,2,3],[1,2,8,9,5,4,3,7,6]],[[2,3,4,5,1,7,8,6,9],[9,1,5,4,6,8,3,7,2],[3,2,9,7,4,6,5,8,1]],[[2,3,4,5,1,7,8,6,9],[9,1,5,3,6,8,7,4,2],[3,2,9,4,8,6,5,7,1]],[[2,3,4,5,1,7,8,6,9],[5,4,8,3,9,6,2,7,1],[1,9,7,4,2,3,6,8,5]]]|[[1,2,3,4,5,6,7,8,9]]
H|11|[15,15,5]|9T33|0|8|[[5,3,1],[5,3,1],[5,1,1,1,1]]|9T33-5.3.1_5.3.1_5.1.1.1.1|2|9|9T33-[15,15,5]-531-531-51111-g0|5|15|15|[[[2,3,4,5,1,7,8,6,9],[5,6,9,3,4,8,7,2,1],[1,9,8,4,5,6,2,7,3]],[[2,3,4,5,1,7,8,6,9],[5,4,2,3,7,9,6,8,1],[1,9,3,4,2,8,7,5,6]],[[2,3,4,5,1,7,8,6,9],[5,9,2,1,4,3,6,8,7],[1,4,3,6,5,8,7,9,2]],[[2,3,4,5,1,7,8,6,9],[5,1,6,4,2,8,9,7,3],[1,2,5,9,4,6,3,8,7]],[[2,3,4,5,1,7,8,6,9],[5,9,3,1,4,8,2,7,6],[1,4,7,3,5,6,9,8,2]],[[2,3,4,5,1,7,8,6,9],[9,4,2,3,5,8,6,1,7],[5,8,3,4,2,6,7,9,1]],[[2,3,4,5,1,7,8,6,9],[3,1,2,4,8,9,6,7,5],[9,2,3,1,4,5,7,8,6]],[[2,3,4,5,1,7,8,6,9],[1,6,2,3,4,5,9,7,8],[6,1,3,4,5,9,2,8,7]],[[2,3,4,5,1,7,8,6,9],[9,1,3,6,4,8,5,7,2],[7,2,9,3,5,6,4,8,1]],[[2,3,4,5,1,7,8,6,9],[9,1,7,3,5,8,6,4,2],[5,2,9,4,8,6,7,3,1]],[[2,3,4,5,1,7,8,6,9],[5,1,9,3,7,2,6,8,4],[1,2,6,4,9,8,7,5,3]]]|[[1,2,3,4,5,6,7,8,9]]
H|4|[15,2,12]|9T33|0|4|[[5,3,1],[2,2,2,2,1],[4,3,2]]|9T33-5.3.1_2.2.2.2.1_4.3.2|1|9|9T33-[15,2,12]-531-22221-432-g0|2|12|15|[[[9,6,8,3,5,7,1,4,2],[8,7,9,4,6,5,2,1,3],[2,3,4,1,6,7,5,9,8]],[[5,6,3,1,7,9,8,4,2],[6,4,9,2,8,1,7,5,3],[2,3,9,5,6,4,8,7,1]],[[3,9,5,4,7,2,8,1,6],[4,8,6,1,5,3,9,2,7],[2,3,4,1,6,7,5,9,8]],[[3,6,8,4,7,9,1,5,2],[4,7,9,1,5,8,2,6,3],[2,3,4,1,6,7,5,9,8]]]|[[1,2,3,4,5,6,7,8,9]]
